weekday,support,precision,recall,f1
Saturday,259,0.75,0.6,0.6666666666666666
Thursday,379,0.6909090909090909,0.6031746031746031,0.6440677966101694
Sunday,298,0.7931034482758621,0.5348837209302325,0.6388888888888888
Friday,311,0.7419354838709677,0.5348837209302325,0.6216216216216216
Monday,288,0.6666666666666666,0.5714285714285714,0.6153846153846154
Tuesday,276,0.6216216216216216,0.5348837209302325,0.575
Wednesday,286,0.65625,0.4666666666666667,0.5454545454545454
