hour_bin,support,precision,recall,f1
06-11,426,0.7837837837837838,0.5471698113207547,0.6444444444444445
18-23,622,0.7638888888888888,0.5555555555555556,0.6432748538011696
00-05,411,0.8529411764705882,0.5087719298245614,0.6373626373626373
12-17,638,0.6438356164383562,0.5053763440860215,0.5662650602409639
