hour_bin,support,precision,recall,f1
06-11,426,0.7021276595744681,0.6226415094339622,0.66
18-23,622,0.7023809523809523,0.5959595959595959,0.644808743169399
00-05,411,0.7073170731707317,0.5087719298245614,0.5918367346938775
12-17,638,0.611764705882353,0.5591397849462365,0.5842696629213483
