hour_bin,support,precision,recall,f1
18-23,622,0.6666666666666666,0.6262626262626263,0.6458333333333334
06-11,426,0.6666666666666666,0.6037735849056604,0.6336633663366337
12-17,638,0.6263736263736264,0.6129032258064516,0.6195652173913043
00-05,411,0.6595744680851063,0.543859649122807,0.5961538461538461
