weekday,support,precision,recall,f1
Saturday,259,0.7916666666666666,0.6333333333333333,0.7037037037037037
Thursday,379,0.7090909090909091,0.6190476190476191,0.6610169491525424
Friday,311,0.7222222222222222,0.6046511627906976,0.6582278481012658
Sunday,298,0.71875,0.5348837209302325,0.6133333333333333
Wednesday,286,0.696969696969697,0.5111111111111111,0.5897435897435898
Monday,288,0.59375,0.5428571428571428,0.5671641791044776
Tuesday,276,0.5333333333333333,0.5581395348837209,0.5454545454545454
